,NO,Time,FcName,FcCode,FcLoc,water_use,Cl_Val,Cl_Unit,pH_Val,pH_Unit,tb_Val,tb_Unit
179,901,2022050321,밀양정수장,4827012381,경남 밀양시 산외면,생활정수,0.5289,mg/L,7.0994,pH,0.0445,NTU
180,900,2022050320,청주정수장,4311112353,충북 청주시 상당구,공업용수,0.0936,mg/L,7.6338,pH,0.3615,NTU
181,899,2022050320,고령정수장,4783012344,경북 고령군 다산면,생활정수,0.7573,mg/L,7.2690,pH,0.0570,NTU
182,898,2022050320,구미정수장,4719012337,경북 구미시 고아읍,생활정수,0.7278,mg/L,7.1898,pH,0.0650,NTU
183,897,2022050320,일산정수장,4128112315,경기도 고양시 덕양구,생활정수,0.9386,mg/L,7.5753,pH,0.0587,NTU
184,896,2022050320,충주정수장,4313012380,충북 충주시 용탄동,생활정수,0.8154,mg/L,7.8385,pH,0.0374,NTU
185,895,2022050320,산성정수장,4518012363,전북 정읍시 옹동면,생활정수,0.9422,mg/L,7.5965,pH,0.0431,NTU
186,894,2022050320,부안정수장,4580012360,전북 부안군 변산면,생활정수,0.8605,mg/L,6.8062,pH,0.0304,NTU
187,893,2022050320,대불정수장,4684012366,전남 무안군 몽타면,공업용수,점검중,mg/L,점검중,pH,0.2829,NTU
188,892,2022050320,반송정수장,4812312335,경남 창원시 성산구,생활정수,0.6687,mg/L,6.7803,pH,0.0761,NTU
189,891,2022050320,구천정수장,4831012332,경남 거제시 신협읍,생활정수,0.7257,mg/L,7.1041,pH,0.0499,NTU
190,890,2022050320,파주정수장,4148012318,경기도 파주시 파주읍,공업용수,0.0000,mg/L,7.5092,pH,0.1601,NTU
191,889,2022050320,시흥정수장,4127312314,경기도 안산시 선부2동,공업용수,점검중,mg/L,7.5639,pH,0.1782,NTU
192,888,2022050320,석성정수장,4476012351,충남 부여군 석성면,생활정수,0.7364,mg/L,7.4088,pH,0.0495,NTU
193,887,2022050320,연초정수장,4831012331,경남 거제시 연초면,생활정수,0.7219,mg/L,7.2258,pH,0.0245,NTU
194,886,2022050320,천안정수장,4413112355,충남 천안시 동남구,생활정수,0.7247,mg/L,7.1022,pH,0.0645,NTU
195,885,2022050320,금산정수장,4471012372,충남 금산군 남일면,생활정수,0.5416,mg/L,7.7444,pH,0.0883,NTU
196,884,2022050320,반월정수장,4127112311,경기도 안산시 상록구,생활정수,1.0259,mg/L,7.4147,pH,0.0531,NTU
197,883,2022050320,고양정수장,4128512319,경기도 고양시 일산동구,생활정수,0.9012,mg/L,7.5623,pH,0.0673,NTU
198,882,2022050320,황지정수장,4219012371,강원도 태백시 황지동,생활정수,0.8283,mg/L,7.2484,pH,0.0734,NTU
199,881,2022050320,보령정수장,4418012359,층남 보령시 웅천읍,생활정수,0.8761,mg/L,7.7161,pH,0.0515,NTU
200,880,2022050320,공주정수장,4415012357,충남 공주시 유구읍,생활정수,0.6897,mg/L,7.4419,pH,0.0358,NTU
201,879,2022050320,아산정수장,4420012354,충남 아산시 영인면,생활정수,0.7140,mg/L,7.3032,pH,0.0533,NTU
202,878,2022050320,고산정수장,4571012367,전북 완주군 고산면,생활정수,0.8757,mg/L,7.3605,pH,0.0407,NTU
203,877,2022050320,동화정수장,4574012385,전북 장수군 변암면,생활정수,0.7630,mg/L,7.0660,pH,0.0650,NTU
204,876,2022050320,화순정수장,4679012364,전남 화순군 화순읍,생활정수,점검중,mg/L,7.0602,pH,0.0779,NTU
205,875,2022050320,덕정정수장,4680012386,전남 장흥군 부산면,생활정수,0.8943,mg/L,7.3706,pH,0.0523,NTU
206,874,2022050320,군산정수장,4513012365,전북 군산시 내흥동,공업용수,0.0248,mg/L,7.3053,pH,0.9379,NTU
207,873,2022050320,성남정수장,4113112313,경기도 성남시 수정구,생활정수,0.8372,mg/L,7.4868,pH,0.0489,NTU
208,872,2022050320,시흥정수장,4127312314,경기도 안산시 선부2동,생활정수,0.8478,mg/L,7.6449,pH,0.0608,NTU
209,871,2022050320,온산정수장,3171012336,울산시 울주군 온산읍,공업용수,0.0280,mg/L,7.4209,pH,0.5223,NTU
210,870,2022050320,송전정수장,4273012356,강원도 횡성군 횡성읍,생활정수,0.5907,mg/L,7.7071,pH,0.0372,NTU
211,869,2022050320,운문정수장,4782012340,경북 청도군 운문면,생활정수,0.7404,mg/L,7.1916,pH,0.0426,NTU
212,868,2022050320,밀양정수장,4827012381,경남 밀양시 산외면,생활정수,0.5385,mg/L,7.1023,pH,0.0448,NTU
213,867,2022050320,양산정수장,4833012382,경남 양산시 상북면,생활정수,0.5282,mg/L,7.0848,pH,0.0428,NTU
214,866,2022050320,사천정수장,4824012333,경남 사천시 축동면,생활정수,0.9349,mg/L,7.2342,pH,0.0342,NTU
215,865,2022050320,수지정수장,4146512316,경기도 용인시 상현동,생활정수,0.8074,mg/L,7.5570,pH,0.0644,NTU
216,864,2022050320,덕소정수장,4136012317,경기도 남양주시 와부읍,생활정수,0.8700,mg/L,7.4179,pH,0.0430,NTU
217,863,2022050320,청주정수장,4311112353,충북 청주시 상당구,생활정수,0.8573,mg/L,7.5743,pH,0.0657,NTU
218,862,2022050320,천안정수장,4413112355,충남 천안시 동남구,공업용수,0.4706,mg/L,7.0482,pH,0.3193,NTU
219,861,2022050320,아산정수장,4420012354,충남 아산시 영인면,공업용수,0.4359,mg/L,7.2766,pH,0.5687,NTU
220,860,2022050320,별량정수장,4615012368,전남 순천시 별량면,생활정수,0.8344,mg/L,7.1870,pH,0.0541,NTU
221,859,2022050320,학야정수장,4711312378,포항시 북구 기계면,생활정수,0.7539,mg/L,7.4359,pH,0.0648,NTU
222,858,2022050320,자인정수장,4729012339,경산시 자인면,생활정수,0.6795,mg/L,6.9497,pH,0.0673,NTU
223,857,2022050320,평림정수장,4688012387,전남 장성군 삼계면,생활정수,0.8520,mg/L,7.0082,pH,0.0604,NTU
224,856,2022050320,와부정수장,4136012312,경기도 남양주시 와부읍,생활정수,0.8657,mg/L,7.3882,pH,0.0469,NTU
225,855,2022050319,충주정수장,4313012380,충북 충주시 용탄동,생활정수,0.7820,mg/L,7.8365,pH,0.0371,NTU
226,854,2022050319,고산정수장,4571012367,전북 완주군 고산면,생활정수,0.8642,mg/L,7.3640,pH,0.0409,NTU
227,853,2022050319,금산정수장,4471012372,충남 금산군 남일면,생활정수,0.5390,mg/L,7.7470,pH,0.0886,NTU
228,852,2022050319,동화정수장,4574012385,전북 장수군 변암면,생활정수,0.7655,mg/L,7.0584,pH,0.0650,NTU
229,851,2022050319,덕정정수장,4680012386,전남 장흥군 부산면,생활정수,0.8761,mg/L,7.3709,pH,0.0522,NTU
230,850,2022050319,대불정수장,4684012366,전남 무안군 몽타면,공업용수,점검중,mg/L,점검중,pH,0.2836,NTU
231,849,2022050319,수지정수장,4146512316,경기도 용인시 상현동,생활정수,0.8404,mg/L,7.5627,pH,0.0680,NTU
232,848,2022050319,황지정수장,4219012371,강원도 태백시 황지동,생활정수,0.8329,mg/L,7.2340,pH,0.0735,NTU
233,847,2022050319,청주정수장,4311112353,충북 청주시 상당구,생활정수,0.8320,mg/L,7.5700,pH,0.0700,NTU
234,846,2022050319,평림정수장,4688012387,전남 장성군 삼계면,생활정수,0.8554,mg/L,7.0051,pH,0.0607,NTU
235,845,2022050319,별량정수장,4615012368,전남 순천시 별량면,생활정수,0.8267,mg/L,7.1851,pH,0.0544,NTU
236,844,2022050319,반송정수장,4812312335,경남 창원시 성산구,생활정수,0.6633,mg/L,6.7785,pH,0.0772,NTU
237,843,2022050319,구미정수장,4719012337,경북 구미시 고아읍,생활정수,0.7412,mg/L,7.1839,pH,0.0651,NTU
238,842,2022050319,고령정수장,4783012344,경북 고령군 다산면,생활정수,0.7676,mg/L,7.2732,pH,0.0569,NTU
239,841,2022050319,군산정수장,4513012365,전북 군산시 내흥동,공업용수,0.0122,mg/L,7.3091,pH,0.9677,NTU
240,840,2022050319,시흥정수장,4127312314,경기도 안산시 선부2동,생활정수,0.8412,mg/L,7.6364,pH,0.0609,NTU
241,839,2022050319,천안정수장,4413112355,충남 천안시 동남구,공업용수,0.4643,mg/L,7.0569,pH,0.3270,NTU
242,838,2022050319,산성정수장,4518012363,전북 정읍시 옹동면,생활정수,0.9176,mg/L,7.6118,pH,0.0435,NTU
243,837,2022050319,자인정수장,4729012339,경산시 자인면,생활정수,0.6829,mg/L,6.9566,pH,0.0671,NTU
244,836,2022050319,양산정수장,4833012382,경남 양산시 상북면,생활정수,0.5266,mg/L,7.0857,pH,0.0428,NTU
245,835,2022050319,구천정수장,4831012332,경남 거제시 신협읍,생활정수,0.6690,mg/L,7.1066,pH,0.0501,NTU
246,834,2022050319,성남정수장,4113112313,경기도 성남시 수정구,생활정수,0.8364,mg/L,7.4936,pH,0.0468,NTU
247,833,2022050319,고양정수장,4128512319,경기도 고양시 일산동구,생활정수,0.9122,mg/L,7.5640,pH,0.0673,NTU
248,832,2022050319,아산정수장,4420012354,충남 아산시 영인면,생활정수,0.7146,mg/L,7.3145,pH,0.0540,NTU
249,831,2022050319,아산정수장,4420012354,충남 아산시 영인면,공업용수,0.3933,mg/L,7.2654,pH,0.5871,NTU
250,830,2022050319,부안정수장,4580012360,전북 부안군 변산면,생활정수,0.8469,mg/L,6.8128,pH,0.0300,NTU
251,829,2022050319,학야정수장,4711312378,포항시 북구 기계면,생활정수,0.7684,mg/L,7.4433,pH,0.0638,NTU
252,828,2022050319,반월정수장,4127112311,경기도 안산시 상록구,생활정수,0.9842,mg/L,7.4130,pH,0.0527,NTU
253,827,2022050319,송전정수장,4273012356,강원도 횡성군 횡성읍,생활정수,0.5897,mg/L,7.7407,pH,0.0376,NTU
254,826,2022050319,운문정수장,4782012340,경북 청도군 운문면,생활정수,0.7405,mg/L,7.1946,pH,0.0435,NTU
255,825,2022050319,파주정수장,4148012318,경기도 파주시 파주읍,공업용수,0.0000,mg/L,7.5073,pH,0.1543,NTU
256,824,2022050319,와부정수장,4136012312,경기도 남양주시 와부읍,생활정수,0.8712,mg/L,7.3903,pH,0.0488,NTU
257,823,2022050319,덕소정수장,4136012317,경기도 남양주시 와부읍,생활정수,0.8769,mg/L,7.4218,pH,0.0428,NTU
258,822,2022050319,밀양정수장,4827012381,경남 밀양시 산외면,생활정수,0.5487,mg/L,7.1100,pH,0.0451,NTU
259,821,2022050319,사천정수장,4824012333,경남 사천시 축동면,생활정수,0.8632,mg/L,7.2270,pH,0.0349,NTU
260,820,2022050319,온산정수장,3171012336,울산시 울주군 온산읍,공업용수,0.0269,mg/L,7.4319,pH,0.4892,NTU
261,819,2022050319,시흥정수장,4127312314,경기도 안산시 선부2동,공업용수,점검중,mg/L,7.5703,pH,0.1763,NTU
262,818,2022050319,천안정수장,4413112355,충남 천안시 동남구,생활정수,0.7141,mg/L,7.0891,pH,0.0639,NTU
263,817,2022050319,공주정수장,4415012357,충남 공주시 유구읍,생활정수,0.6844,mg/L,7.4415,pH,0.0358,NTU
264,816,2022050319,화순정수장,4679012364,전남 화순군 화순읍,생활정수,점검중,mg/L,7.0599,pH,0.0790,NTU
265,815,2022050319,연초정수장,4831012331,경남 거제시 연초면,생활정수,0.7293,mg/L,7.2294,pH,0.0346,NTU
266,814,2022050319,청주정수장,4311112353,충북 청주시 상당구,공업용수,0.0762,mg/L,7.6214,pH,0.3609,NTU
267,813,2022050319,일산정수장,4128112315,경기도 고양시 덕양구,생활정수,0.9352,mg/L,7.5791,pH,0.0588,NTU
268,812,2022050319,석성정수장,4476012351,충남 부여군 석성면,생활정수,0.7380,mg/L,7.3424,pH,0.0490,NTU
269,811,2022050319,보령정수장,4418012359,층남 보령시 웅천읍,생활정수,0.8684,mg/L,7.7303,pH,0.0512,NTU
270,810,2022050318,반월정수장,4127112311,경기도 안산시 상록구,생활정수,0.8694,mg/L,7.4110,pH,0.0530,NTU
271,809,2022050318,보령정수장,4418012359,층남 보령시 웅천읍,생활정수,0.8634,mg/L,7.7509,pH,0.0513,NTU
272,808,2022050318,학야정수장,4711312378,포항시 북구 기계면,생활정수,0.7955,mg/L,7.4408,pH,0.0640,NTU
273,807,2022050318,운문정수장,4782012340,경북 청도군 운문면,생활정수,0.7217,mg/L,7.1975,pH,0.0437,NTU
274,806,2022050318,온산정수장,3171012336,울산시 울주군 온산읍,공업용수,0.0247,mg/L,7.4434,pH,0.4862,NTU
275,805,2022050318,금산정수장,4471012372,충남 금산군 남일면,생활정수,0.5360,mg/L,7.7494,pH,0.0891,NTU
276,804,2022050318,화순정수장,4679012364,전남 화순군 화순읍,생활정수,점검중,mg/L,7.0634,pH,0.0797,NTU
277,803,2022050318,별량정수장,4615012368,전남 순천시 별량면,생활정수,0.8267,mg/L,7.1869,pH,0.0550,NTU
278,802,2022050318,대불정수장,4684012366,전남 무안군 몽타면,공업용수,점검중,mg/L,점검중,pH,0.2822,NTU
279,801,2022050318,사천정수장,4824012333,경남 사천시 축동면,생활정수,0.7783,mg/L,7.2207,pH,0.0347,NTU
280,800,2022050318,수지정수장,4146512316,경기도 용인시 상현동,생활정수,0.8494,mg/L,7.5651,pH,0.0732,NTU
281,799,2022050318,양산정수장,4833012382,경남 양산시 상북면,생활정수,0.5199,mg/L,7.0813,pH,0.0429,NTU
282,798,2022050318,시흥정수장,4127312314,경기도 안산시 선부2동,공업용수,점검중,mg/L,7.5753,pH,0.1798,NTU
283,797,2022050318,공주정수장,4415012357,충남 공주시 유구읍,생활정수,0.6842,mg/L,7.4423,pH,0.0360,NTU
284,796,2022050318,부안정수장,4580012360,전북 부안군 변산면,생활정수,0.8353,mg/L,6.7794,pH,0.0307,NTU
285,795,2022050318,덕정정수장,4680012386,전남 장흥군 부산면,생활정수,0.8770,mg/L,7.3734,pH,0.0521,NTU
286,794,2022050318,파주정수장,4148012318,경기도 파주시 파주읍,공업용수,0.0000,mg/L,7.4986,pH,0.1525,NTU
287,793,2022050318,청주정수장,4311112353,충북 청주시 상당구,공업용수,0.0641,mg/L,7.6106,pH,0.3664,NTU
288,792,2022050318,구미정수장,4719012337,경북 구미시 고아읍,생활정수,0.7303,mg/L,7.1668,pH,0.0647,NTU
289,791,2022050318,성남정수장,4113112313,경기도 성남시 수정구,생활정수,0.8225,mg/L,7.4942,pH,0.0502,NTU
290,790,2022050318,시흥정수장,4127312314,경기도 안산시 선부2동,생활정수,0.8389,mg/L,7.6285,pH,0.0610,NTU
291,789,2022050318,덕소정수장,4136012317,경기도 남양주시 와부읍,생활정수,0.8882,mg/L,7.4244,pH,0.0429,NTU
292,788,2022050318,송전정수장,4273012356,강원도 횡성군 횡성읍,생활정수,0.5535,mg/L,7.7657,pH,0.0384,NTU
293,787,2022050318,청주정수장,4311112353,충북 청주시 상당구,생활정수,0.8379,mg/L,7.5681,pH,0.0707,NTU
294,786,2022050318,천안정수장,4413112355,충남 천안시 동남구,생활정수,0.7375,mg/L,7.0835,pH,0.0637,NTU
295,785,2022050318,석성정수장,4476012351,충남 부여군 석성면,생활정수,0.7490,mg/L,7.3062,pH,0.0488,NTU
296,784,2022050318,아산정수장,4420012354,충남 아산시 영인면,공업용수,0.4131,mg/L,7.2729,pH,0.6139,NTU
297,783,2022050318,자인정수장,4729012339,경산시 자인면,생활정수,0.6872,mg/L,6.9544,pH,0.0664,NTU
298,782,2022050318,구천정수장,4831012332,경남 거제시 신협읍,생활정수,0.7273,mg/L,7.1083,pH,0.0501,NTU
299,781,2022050318,고산정수장,4571012367,전북 완주군 고산면,생활정수,0.8531,mg/L,7.3613,pH,0.0409,NTU
300,780,2022050318,평림정수장,4688012387,전남 장성군 삼계면,생활정수,0.8706,mg/L,7.0107,pH,0.0613,NTU
301,779,2022050318,밀양정수장,4827012381,경남 밀양시 산외면,생활정수,0.5421,mg/L,7.1079,pH,0.0451,NTU
302,778,2022050318,반송정수장,4812312335,경남 창원시 성산구,생활정수,0.6574,mg/L,6.7786,pH,0.0767,NTU
303,777,2022050318,연초정수장,4831012331,경남 거제시 연초면,생활정수,0.7308,mg/L,7.2283,pH,0.0257,NTU
304,776,2022050318,천안정수장,4413112355,충남 천안시 동남구,공업용수,0.5369,mg/L,7.0400,pH,0.3225,NTU
305,775,2022050318,와부정수장,4136012312,경기도 남양주시 와부읍,생활정수,0.8718,mg/L,7.3967,pH,0.0543,NTU
306,774,2022050318,고양정수장,4128512319,경기도 고양시 일산동구,생활정수,0.9177,mg/L,7.5660,pH,0.0675,NTU
307,773,2022050318,일산정수장,4128112315,경기도 고양시 덕양구,생활정수,0.9305,mg/L,7.5820,pH,0.0591,NTU
308,772,2022050318,충주정수장,4313012380,충북 충주시 용탄동,생활정수,0.7750,mg/L,7.8380,pH,0.0368,NTU
309,771,2022050318,산성정수장,4518012363,전북 정읍시 옹동면,생활정수,0.9105,mg/L,7.6091,pH,0.0448,NTU
310,770,2022050318,동화정수장,4574012385,전북 장수군 변암면,생활정수,0.7654,mg/L,7.0666,pH,0.0650,NTU
311,769,2022050318,군산정수장,4513012365,전북 군산시 내흥동,공업용수,0.0139,mg/L,7.3193,pH,0.9957,NTU
312,768,2022050318,고령정수장,4783012344,경북 고령군 다산면,생활정수,0.7647,mg/L,7.2760,pH,0.0562,NTU
313,767,2022050318,황지정수장,4219012371,강원도 태백시 황지동,생활정수,0.8310,mg/L,7.2510,pH,0.0734,NTU
314,766,2022050318,아산정수장,4420012354,충남 아산시 영인면,생활정수,0.7240,mg/L,7.3204,pH,0.0546,NTU
315,765,2022050317,황지정수장,4219012371,강원도 태백시 황지동,생활정수,0.8325,mg/L,7.2598,pH,0.0735,NTU
316,764,2022050317,아산정수장,4420012354,충남 아산시 영인면,생활정수,0.7480,mg/L,7.3180,pH,0.0545,NTU
317,763,2022050317,온산정수장,3171012336,울산시 울주군 온산읍,공업용수,0.0221,mg/L,7.4407,pH,0.5342,NTU
318,762,2022050317,청주정수장,4311112353,충북 청주시 상당구,공업용수,0.0474,mg/L,7.6033,pH,0.3604,NTU
319,761,2022050317,와부정수장,4136012312,경기도 남양주시 와부읍,생활정수,0.8735,mg/L,7.4064,pH,0.0466,NTU
320,760,2022050317,시흥정수장,4127312314,경기도 안산시 선부2동,생활정수,0.8397,mg/L,7.6363,pH,0.0608,NTU
321,759,2022050317,수지정수장,4146512316,경기도 용인시 상현동,생활정수,0.8847,mg/L,7.5659,pH,0.0662,NTU
322,758,2022050317,덕소정수장,4136012317,경기도 남양주시 와부읍,생활정수,0.9006,mg/L,7.4280,pH,0.0426,NTU
323,757,2022050317,고양정수장,4128512319,경기도 고양시 일산동구,생활정수,0.9065,mg/L,7.5651,pH,0.0672,NTU
324,756,2022050317,천안정수장,4413112355,충남 천안시 동남구,생활정수,0.7800,mg/L,7.0821,pH,0.0634,NTU
325,755,2022050317,동화정수장,4574012385,전북 장수군 변암면,생활정수,0.7655,mg/L,7.0837,pH,0.0650,NTU
326,754,2022050317,밀양정수장,4827012381,경남 밀양시 산외면,생활정수,0.5311,mg/L,7.1074,pH,0.0450,NTU
327,753,2022050317,공주정수장,4415012357,충남 공주시 유구읍,생활정수,0.6882,mg/L,7.4449,pH,0.0349,NTU
328,752,2022050317,산성정수장,4518012363,전북 정읍시 옹동면,생활정수,0.9197,mg/L,7.6146,pH,0.0463,NTU
329,751,2022050317,부안정수장,4580012360,전북 부안군 변산면,생활정수,0.8293,mg/L,6.7788,pH,0.0305,NTU
330,750,2022050317,구천정수장,4831012332,경남 거제시 신협읍,생활정수,0.7251,mg/L,7.1184,pH,0.0504,NTU
331,749,2022050317,군산정수장,4513012365,전북 군산시 내흥동,공업용수,0.0073,mg/L,7.3358,pH,0.9791,NTU
332,748,2022050317,시흥정수장,4127312314,경기도 안산시 선부2동,공업용수,점검중,mg/L,7.5709,pH,0.1837,NTU
333,747,2022050317,반월정수장,4127112311,경기도 안산시 상록구,생활정수,0.8195,mg/L,7.4237,pH,0.0528,NTU
334,746,2022050317,송전정수장,4273012356,강원도 횡성군 횡성읍,생활정수,0.5409,mg/L,7.7869,pH,0.0404,NTU
335,745,2022050317,청주정수장,4311112353,충북 청주시 상당구,생활정수,0.8447,mg/L,7.5684,pH,0.0701,NTU
336,744,2022050317,고산정수장,4571012367,전북 완주군 고산면,생활정수,0.8542,mg/L,7.3585,pH,0.0412,NTU
337,743,2022050317,평림정수장,4688012387,전남 장성군 삼계면,생활정수,0.8645,mg/L,7.0061,pH,0.0602,NTU
338,742,2022050317,자인정수장,4729012339,경산시 자인면,생활정수,0.6879,mg/L,6.9574,pH,0.0660,NTU
339,741,2022050317,운문정수장,4782012340,경북 청도군 운문면,생활정수,0.7335,mg/L,7.2028,pH,0.0426,NTU
340,740,2022050317,반송정수장,4812312335,경남 창원시 성산구,생활정수,0.6451,mg/L,6.7787,pH,0.0750,NTU
341,739,2022050317,일산정수장,4128112315,경기도 고양시 덕양구,생활정수,0.9318,mg/L,7.5811,pH,0.0590,NTU
342,738,2022050317,금산정수장,4471012372,충남 금산군 남일면,생활정수,0.4787,mg/L,7.7483,pH,0.0895,NTU
343,737,2022050317,덕정정수장,4680012386,전남 장흥군 부산면,생활정수,0.8936,mg/L,7.3759,pH,0.0525,NTU
344,736,2022050317,별량정수장,4615012368,전남 순천시 별량면,생활정수,0.8311,mg/L,7.1925,pH,0.0544,NTU
345,735,2022050317,구미정수장,4719012337,경북 구미시 고아읍,생활정수,0.7138,mg/L,7.1523,pH,0.0648,NTU
346,734,2022050317,고령정수장,4783012344,경북 고령군 다산면,생활정수,0.7393,mg/L,7.2771,pH,0.0556,NTU
347,733,2022050317,학야정수장,4711312378,포항시 북구 기계면,생활정수,0.8036,mg/L,7.4455,pH,0.0639,NTU
348,732,2022050317,양산정수장,4833012382,경남 양산시 상북면,생활정수,0.5263,mg/L,7.0826,pH,0.0428,NTU
349,731,2022050317,대불정수장,4684012366,전남 무안군 몽타면,공업용수,점검중,mg/L,점검중,pH,0.2844,NTU
350,730,2022050317,사천정수장,4824012333,경남 사천시 축동면,생활정수,0.7719,mg/L,7.2203,pH,0.0348,NTU
351,729,2022050317,연초정수장,4831012331,경남 거제시 연초면,생활정수,0.7247,mg/L,7.2298,pH,0.0263,NTU
352,728,2022050317,성남정수장,4113112313,경기도 성남시 수정구,생활정수,0.8113,mg/L,7.5031,pH,0.0541,NTU
353,727,2022050317,천안정수장,4413112355,충남 천안시 동남구,공업용수,0.4619,mg/L,7.0435,pH,0.3365,NTU
354,726,2022050317,석성정수장,4476012351,충남 부여군 석성면,생활정수,0.7540,mg/L,7.3088,pH,0.0491,NTU
355,725,2022050317,파주정수장,4148012318,경기도 파주시 파주읍,공업용수,0.0000,mg/L,7.5034,pH,0.1526,NTU
356,724,2022050317,충주정수장,4313012380,충북 충주시 용탄동,생활정수,0.7845,mg/L,7.8414,pH,0.0368,NTU
357,723,2022050317,보령정수장,4418012359,층남 보령시 웅천읍,생활정수,0.8672,mg/L,7.7633,pH,0.0501,NTU
358,722,2022050317,아산정수장,4420012354,충남 아산시 영인면,공업용수,0.3933,mg/L,7.2758,pH,0.5982,NTU
